TagID,TagName,categoryname,categoryid
2842,glödlampa,Glödlampor,2991
2843,glödlampor,Lågenergilampor,2995
2844,lågenergilampor,Lågenergilampor,2995
2845,mandlar,"Sötmandel Naturell",2948
2845,mandlar,Mandlar,1233
2846,"Hårt bröd",Knäckebröd,349
2847,Hårtbröd,Knäckebröd,349
2854,clementiner,Småcitrus,3230
2855,mandariner,Småcitrus,3230
2856,anjovis,Ansjovis,537
2856,anjovis,Ansjovisfiléer,2127
2857,vört,Vörtbröd,3832
2859,julbröd,Vörtbröd,3832
2859,julbröd,Julvört,3872
2860,jullimpa,Julvört,3872
2861,nonstop,"Godispåse - Choklad",50
2862,"non stop","Godispåse - Choklad",50
2866,revbenspjäll,Revbensspjäll,846
2867,ribs,Revbensspjäll,846
2868,revben,Revbensspjäll,846
2869,spjäll,Revbensspjäll,846
2870,"gröna ärtor","Gröna Ärtor",3273
2871,ärtor,"Gröna Ärtor",3273
2872,vin,"Alkoholfritt vin",4378
2872,vin,"Vin från Winefinder",5849
2873,rödvin,"Rött vin",5852
2876,keso,"Cottage cheese Naturell",518
2876,keso,"Cottage cheese & kvarg",3816
2876,keso,"Cottage cheese Smaksatt",2905
2901,chili,"Spansk Peppar",4075
2902,chilli,"Spansk Peppar",4075
2903,"färsk chili",Chilifrukter,3009
2907,nöt,Köttfärs,449
2907,nöt,"Köttfärs - Nöt",848
2910,pekannötter,Pecannötter,2939
2911,potatis,Potatis,46
2911,potatis,"Potatis Fast",834
2912,ägg,Ägg,107
2913,juic,Juice,231
2914,köttlådor,Köttlådor,4040
2915,nötkött,Nötkött,117
2916,banan,Köttfärs,449
2917,sukini,Zucchini,166
2928,mjlk,Mjölk,374
2929,avakado,Avokado,161
2930,voccado,Avokado,161
2931,"pasta färsk","Gnocchi Färsk",3026
2932,gnoshi,"Gnocchi Färsk",3026
2933,gnocci,"Gnocchi Färsk",3026
2934,gnochi,"Gnocchi Färsk",3026
2935,gnoci,"Gnocchi Färsk",3026
2936,gnocki,"Gnocchi Färsk",3026
2937,tottelini,"Tortellini Färsk",2714
2938,tortiolini,"Tortellini Färsk",2714
2939,totelini,"Tortellini Färsk",2714
2940,totlini,"Tortellini Färsk",2714
2941,fettushini,"Fettuccini Färsk",2952
2942,fettoshini,"Fettuccini Färsk",2952
2943,fetuschini,"Fettuccini Färsk",2952
2944,fettuschini,"Fettuccini Färsk",2952
2945,fetschini,"Fettuccini Färsk",2952
2946,fettuscihi,"Fettuccini Färsk",2952
2947,tagilioni,"Tagliatelle Färsk",2715
2948,tgeliatell,"Tagliatelle Färsk",2715
2949,tagliatell,"Tagliatelle Färsk",2715
2950,tagliatele,"Tagliatelle Färsk",2715
2951,tagelitelli,"Tagliatelle Färsk",2715
2952,tagolin,"Tagolini Färsk",2327
2953,taligini,"Tagolini Färsk",2327
2954,tagoli,"Tagolini Färsk",2327
2955,"isberg sallat",Isbergssallat,791
2956,"isberg sallad",Isbergssallat,791
2957,"sallad isberg",Isbergssallat,791
2958,"sallat isberg",Isbergssallat,791
2959,majonnes,Majonnäs,342
2960,majones,Majonnäs,342
2961,mayo,Majonnäs,342
2962,majonä,Majonnäs,342
2963,mayonnäs,Majonnäs,342
2964,mayonäs,Majonnäs,342
2965,rost,"Toast & Rostbröd",3136
2966,rosbröd,"Toast & Rostbröd",3136
2967,"rost bröd","Toast & Rostbröd",3136
2968,toastbröd,"Toast & Rostbröd",3136
2969,"toast bröd","Toast & Rostbröd",3136
2970,rostbrd,"Toast & Rostbröd",3136
2971,huspapper,Hushållspapper,512
2972,"hushålls papper",Hushållspapper,512
2973,"hus papper",Hushållspapper,512
2974,annanas,Ananas,171
2974,annanas,"Ananas Bitar",4152
2974,annanas,"Ananas Fryst",2680
2974,annanas,"Ananas i Fruktkonserver",976
2974,annanas,Ananasjuice,3157
2975,permansan,"Parmesan, Pecorino & Grana Padano",64
2976,"parmasan ost","Parmesan, Pecorino & Grana Padano",64
2977,fond,"Buljong & Fond",396
2977,fond,"Vilt/Kantarellfond Bulj.",2230
2977,fond,Fonder,3713
2977,fond,Buljong,3712
2978,buljog,"Buljong & Fond",396
2979,bulljong,"Buljong & Fond",396
2980,bulljog,"Buljong & Fond",396
2981,squasch,Zucchini,166
2981,squasch,Squash,3496
2982,zukini,Zucchini,166
2983,Partyis,Is,2981
2994,fest,Lösviktsgodis,4570
2995,kalas,Lösviktsgodis,4570
2996,miniplommontomater,Miniplommontomater,2191
2997,"miniplommon tomater",Miniplommontomater,2191
2998,"plommon tomater mini",Miniplommontomater,2191
2999,"plommon tommater",Miniplommontomater,2191
3000,"tommater plommon",Miniplommontomater,2191
3001,"plomon tomater",Miniplommontomater,2191
3001,"plomon tomater",Plommontomater,2182
3002,"eko tomater",Miniplommontomater,2191
3003,"papaja ",Papaya,232
3004,papja,Papaya,232
3005,papya,Papaya,232
3006,pappaja,Papaya,232
3007,pappaya,Papaya,232
3008,beasås,Bearnaisesås,1261
3009,beanesås,Bearnaisesås,1261
3010,bearnes,Bearnaisesås,1261
3011,bearnaie,Bearnaisesås,1261
3012,bearnaiessås,Bearnaisesås,1261
3013,"bea ",Bearnaisesås,1261
3014,hollandisås,Hollandaissås,2213
3015,hollanddaisås,Hollandaissås,2213
3016,"hollandaise sås",Hollandaissås,2213
3017,"hollandai sås",Hollandaissås,2213
3018,hollandaisås,Hollandaissås,2213
3019,helleflundra,Hälleflundra,3930
3020,häleflundra,Hälleflundra,3930
3021,helflundra,Hälleflundra,3930
3022,hälflundra,Hälleflundra,3930
3023,hällflundra,Hälleflundra,3930
3024,hellflundra,Hälleflundra,3930
3026,klädnypa,Klädnypor,4231
3027,klädnypor,Klädnypor,4231
3028,Toapapper,Toalettpapper,55
3030,salad,Salladsmix,2197
3030,salad,Sallat,165
3034,smootie,"Fruktdryck & Dessertsoppa",592
3035,smotie,"Fruktdryck & Dessertsoppa",592
3036,smothie,"Fruktdryck & Dessertsoppa",592
3037,salat,Salladsmix,2197
3037,salat,Sallat,165
3038,nektariner,Nektarin,77
3039,pyttipanna,Pytt,1539
3040,hamburgarbröd,Hamburgerbröd,1917
3041,prosciuttio,Prosciutto,874
3041,prosciuttio,Getmjölk,4248
3042,potato,Potatis,46
3043,juicer,Juice,231
3043,juicer,"Övrig juice",982
3054,morot,Morötter,175
3054,morot,"Vanliga morötter",3767
3054,morot,"Frysta Morötter",3769
3054,morot,"Morötter i Knippe",4226
3056,ketchup,Tomatketchup,328
3057,Servett,Servetter,2976
3058,Servetter,Servetter,2976
3060,ris,"Ris & Gryn",25
3062,drickaback,Drickabackar,3729
3063,läskback,Drickabackar,3729
3068,cocosmjölk,Kokosmjölk,1146
3075,äppeljuice,Äppeljuice,1083
3076,äpplejuice,Äppeljuice,1083
3080,"laktosfri glass","Laktosfri glass",4611
3082,mjöl,Vetemjöl,708
3084,veg,"Kryddmix Veggie Wok",3095
3084,veg,"Pizza Vegetarisk",3306
3084,veg,"Portionsrätter Veg",2919
3084,veg,"Taco Kryddmix - Veg",3659
3091,toalettpapper,Toalettpapper,55
3092,Texmex,"Kryddmix Tapas",4263
3093,nötfärs,Köttfärs,449
3093,nötfärs,"Köttfärs - Nöt",848
3094,allreng,Allrengöringsmedel,1224
3095,allrengör,Allrengöringsmedel,1224
3096,julvaror,Julvaror,3869
3096,julvaror,Pepparkakor,375
3096,julvaror,Glögg,3864
3096,julvaror,Julmust,3849
3096,julvaror,Juldryck,3870
3096,julvaror,Julvört,3872
3096,julvaror,"Sötmandel Naturell",2948
3096,julvaror,"Julgodis & Julnötter",53
3096,julvaror,Pepparkaksdeg,3865
3096,julvaror,"Monikas Julkasse",4291
3096,julvaror,julknäcke,4490
3097,fläskkotlett,Fläskkotlett,845
3098,kotlett,Fläskkotlett,845
3099,parmesanost,"Parmesan, Pecorino & Grana Padano",64
3099,parmesanost,"Riven Parmesanost",2891
3100,"parmesan ost","Riven Parmesanost",2891
3101,parm,"Riven Parmesanost",2891
3102,clemen,Småcitrus,3230
3103,reker,räkor,155
