TagID,TagName,productname,productid,EanCode
27174,snittblommor,"Tistel Blå 5-p",127450,7340003800218
27174,snittblommor,Eukalyptus,127453,7340003873144
27174,snittblommor,"Ranunkler Vita 5-p",127456,7340003800324
27174,snittblommor,"Rosor Röda 7-p",127459,7340003830253
35563,alla_hjartans_dag,"Rosor Röda 7-p",127459,7340003830253
21365,valentin,"Semlor 2-p Johnséns",127462,7332619700037
35563,alla_hjartans_dag,"Semlor 2-p Johnséns",127462,7332619700037
3853,semla,"Semlor 2-p Johnséns",127462,7332619700037
21371,fettisdag,"Semlor 2-p Johnséns",127462,7332619700037
84643,fettisdagen,"Semlor 2-p Johnséns",127462,7332619700037
84781,semmeldagen,"Semlor 2-p Johnséns",127462,7332619700037
104413,fastlagsbullar,"Semlor 2-p Johnséns",127462,7332619700037
104410,fastlagsbulle,"Semlor 2-p Johnséns",127462,7332619700037
57101,Winefinder,"Bodega Atamisque Serbal Cabernet Franc 2015 2 x 750 ml",127468,100024507
2872,vin,"Bodega Atamisque Serbal Cabernet Franc 2015 2 x 750 ml",127468,100024507
57146,"Cabernet Franc","Bodega Atamisque Serbal Cabernet Franc 2015 2 x 750 ml",127468,100024507
61273,Argentina,"Bodega Atamisque Serbal Cabernet Franc 2015 2 x 750 ml",127468,100024507
61369,Mendoza,"Bodega Atamisque Serbal Cabernet Franc 2015 2 x 750 ml",127468,100024507
57101,Winefinder,"Bodegas Borsao Tres Picos 2015 2 x 750 ml",127471,100024826
2872,vin,"Bodegas Borsao Tres Picos 2015 2 x 750 ml",127471,100024826
57278,Garnacha,"Bodegas Borsao Tres Picos 2015 2 x 750 ml",127471,100024826
61198,Spanien,"Bodegas Borsao Tres Picos 2015 2 x 750 ml",127471,100024826
61366,"Campo de Borja","Bodegas Borsao Tres Picos 2015 2 x 750 ml",127471,100024826
57101,Winefinder,"Gôiya Chardonnay Sauvignon Blanc 2015 2 x 750 ml",127474,100024860
2872,vin,"Gôiya Chardonnay Sauvignon Blanc 2015 2 x 750 ml",127474,100024860
57233,"Sauvignon Blanc","Gôiya Chardonnay Sauvignon Blanc 2015 2 x 750 ml",127474,100024860
57116,Chardonnay,"Gôiya Chardonnay Sauvignon Blanc 2015 2 x 750 ml",127474,100024860
61237,Sydafrika,"Gôiya Chardonnay Sauvignon Blanc 2015 2 x 750 ml",127474,100024860
62731,"Olifants River Valley","Gôiya Chardonnay Sauvignon Blanc 2015 2 x 750 ml",127474,100024860
57101,Winefinder,"Gôiya Shiraz Pinotage 2013 2 x 750 ml",127477,100024861
2872,vin,"Gôiya Shiraz Pinotage 2013 2 x 750 ml",127477,100024861
61237,Sydafrika,"Gôiya Shiraz Pinotage 2013 2 x 750 ml",127477,100024861
62731,"Olifants River Valley","Gôiya Shiraz Pinotage 2013 2 x 750 ml",127477,100024861
57101,Winefinder,"Bodegas Peique Ramon Valle 2014 2 x 750 ml",127480,100025177
2872,vin,"Bodegas Peique Ramon Valle 2014 2 x 750 ml",127480,100025177
57203,Mencía,"Bodegas Peique Ramon Valle 2014 2 x 750 ml",127480,100025177
61198,Spanien,"Bodegas Peique Ramon Valle 2014 2 x 750 ml",127480,100025177
61372,Bierzo,"Bodegas Peique Ramon Valle 2014 2 x 750 ml",127480,100025177
4700,briketter,"Enkeld 6kg Södra",127483,7322669999635
8243,Ved,"Enkeld 6kg Södra",127483,7322669999635
4709,grill,"Enkeld 6kg Södra",127483,7322669999635
8243,Ved,"Värmeloggs 10kg Södra",127486,7322669999604
4700,briketter,"Värmeloggs 10kg Södra",127486,7322669999604
35563,alla_hjartans_dag,"Cecina De Leon Alba Real ca 100g MatHem",127489,445724654
17928,bacon,"Baconsida Hårdrökt Skivad ca 200g MatHem",127495,445724656
35563,alla_hjartans_dag,"Charkbricka Inspiration ca 300g MatHem",127504,445724659
57101,Winefinder,"Montes Cabernet Sauvignon Reserva 2014 2 x 750 ml",127507,100024219
2872,vin,"Montes Cabernet Sauvignon Reserva 2014 2 x 750 ml",127507,100024219
57107,"Cabernet Sauvignon","Montes Cabernet Sauvignon Reserva 2014 2 x 750 ml",127507,100024219
57110,Merlot,"Montes Cabernet Sauvignon Reserva 2014 2 x 750 ml",127507,100024219
61309,Chile,"Montes Cabernet Sauvignon Reserva 2014 2 x 750 ml",127507,100024219
61438,"Colchagua Valley","Montes Cabernet Sauvignon Reserva 2014 2 x 750 ml",127507,100024219
63142,Schampoo,"Schampo Instant Relief 250ml Head & Shoulders",127510,8001090263124
71841,"head and shoulders","Schampo Instant Relief 250ml Head & Shoulders",127510,8001090263124
7330,schampo,"Schampo Instant Relief 250ml Head & Shoulders",127510,8001090263124
3833,shampo,"Schampo Instant Relief 250ml Head & Shoulders",127510,8001090263124
3832,shampoo,"Schampo Instant Relief 250ml Head & Shoulders",127510,8001090263124
63142,Schampoo,"2in1 Classic 250ml Head & Shoulders",127513,8001090263032
71841,"head and shoulders","2in1 Classic 250ml Head & Shoulders",127513,8001090263032
63142,Schampoo,"2in1 Citrus 250ml Head & Shoulders",127516,8001090263056
71841,"head and shoulders","2in1 Citrus 250ml Head & Shoulders",127516,8001090263056
63142,Schampoo,"Schampo Instant Dry Scalp Care 250ml Head & Shoulders",127519,8001090263070
71841,"head and shoulders","Schampo Instant Dry Scalp Care 250ml Head & Shoulders",127519,8001090263070
7330,schampo,"Schampo Instant Dry Scalp Care 250ml Head & Shoulders",127519,8001090263070
3833,shampo,"Schampo Instant Dry Scalp Care 250ml Head & Shoulders",127519,8001090263070
3832,shampoo,"Schampo Instant Dry Scalp Care 250ml Head & Shoulders",127519,8001090263070
63142,Schampoo,"Schampo Repair & Care 280ml Head & Shoulders",127522,8001090429858
71841,"head and shoulders","Schampo Repair & Care 280ml Head & Shoulders",127522,8001090429858
7330,schampo,"Schampo Repair & Care 280ml Head & Shoulders",127522,8001090429858
3833,shampo,"Schampo Repair & Care 280ml Head & Shoulders",127522,8001090429858
3832,shampoo,"Schampo Repair & Care 280ml Head & Shoulders",127522,8001090429858
63142,Schampoo,"Schampo Thick & Strong 280ml Head & Shoulders",127525,8001090429889
71841,"head and shoulders","Schampo Thick & Strong 280ml Head & Shoulders",127525,8001090429889
7330,schampo,"Schampo Thick & Strong 280ml Head & Shoulders",127525,8001090429889
3833,shampo,"Schampo Thick & Strong 280ml Head & Shoulders",127525,8001090429889
3832,shampoo,"Schampo Thick & Strong 280ml Head & Shoulders",127525,8001090429889
63142,Schampoo,"Schampo Total/Male Care 280ml Head & Shoulders",127528,8001090429919
71841,"head and shoulders","Schampo Total/Male Care 280ml Head & Shoulders",127528,8001090429919
7330,schampo,"Schampo Total/Male Care 280ml Head & Shoulders",127528,8001090429919
3833,shampo,"Schampo Total/Male Care 280ml Head & Shoulders",127528,8001090429919
3832,shampoo,"Schampo Total/Male Care 280ml Head & Shoulders",127528,8001090429919
63142,Schampoo,"Schampo Classic Clean 280ml Head & Shoulders",127531,8001090429797
71841,"head and shoulders","Schampo Classic Clean 280ml Head & Shoulders",127531,8001090429797
7330,schampo,"Schampo Classic Clean 280ml Head & Shoulders",127531,8001090429797
3833,shampo,"Schampo Classic Clean 280ml Head & Shoulders",127531,8001090429797
3832,shampoo,"Schampo Classic Clean 280ml Head & Shoulders",127531,8001090429797
63142,Schampoo,"Schampo Apple 280ml Head & Shoulders",127534,8001090429827
7330,schampo,"Schampo Apple 280ml Head & Shoulders",127534,8001090429827
3833,shampo,"Schampo Apple 280ml Head & Shoulders",127534,8001090429827
3832,shampoo,"Schampo Apple 280ml Head & Shoulders",127534,8001090429827
63142,Schampoo,"Schampo Citrus 280ml head & Shoulders",127537,8001090427618
71841,"head and shoulders","Schampo Citrus 280ml head & Shoulders",127537,8001090427618
7330,schampo,"Schampo Citrus 280ml head & Shoulders",127537,8001090427618
3833,shampo,"Schampo Citrus 280ml head & Shoulders",127537,8001090427618
3832,shampoo,"Schampo Citrus 280ml head & Shoulders",127537,8001090427618
63889,dagkräm,"Day Cream Iris Hydrating EKO 30ml Weleda",127543,4001638088763
63892,nattkräm,"Night Cream Iris Hydrating EKO 30ml Weleda",127549,4001638080262
14311,presenter,"Arnica Sports Kit EKO 50ml Weleda",127573,7340038603662
93553,tuttifrutti,"Tutti Frutti Sour 180g Fazer",127576,6416453036413
90814,"Carte d ór","Strawberry Meringue 900ml GB Signature",127606,8712100495045
67918,Chilitagliatelle,"Tagliatelle med Chili EKO/KRAV 200g Il Fornaio",127651,5703043442787
100771,"svart pasta","Fettuccine Med Bläck EKO/KRAV 200g Il Fornaio",127654,5703043442800
68119,veganska_varor,"Quinoaburgare EKO 200g Risenta",127657,7312631400351
14925,vegan,"Quinoaburgare EKO 200g Risenta",127657,7312631400351
15724,VegetariskaHyllan,"Quinoaburgare EKO 200g Risenta",127657,7312631400351
13169,vego,"Quinoaburgare EKO 200g Risenta",127657,7312631400351
68119,veganska_varor,"Kikärtsbollar Glutenfri 200g Risenta",127660,7312631400368
15724,VegetariskaHyllan,"Kikärtsbollar Glutenfri 200g Risenta",127660,7312631400368
75169,falafel,"Kikärtsbollar Glutenfri 200g Risenta",127660,7312631400368
13169,vego,"Kikärtsbollar Glutenfri 200g Risenta",127660,7312631400368
15724,VegetariskaHyllan,"Kikärtsbiff Nötter 200g Risenta",127663,7312631400375
68119,veganska_varor,"Kikärtsbiff Nötter 200g Risenta",127663,7312631400375
57101,Winefinder,"Fess Parker Chardonnay Ashleys Vineyard 2013 2 x 750 ml",127666,100018023
2872,vin,"Fess Parker Chardonnay Ashleys Vineyard 2013 2 x 750 ml",127666,100018023
57116,Chardonnay,"Fess Parker Chardonnay Ashleys Vineyard 2013 2 x 750 ml",127666,100018023
18474,usa,"Fess Parker Chardonnay Ashleys Vineyard 2013 2 x 750 ml",127666,100018023
61279,California,"Fess Parker Chardonnay Ashleys Vineyard 2013 2 x 750 ml",127666,100018023
57101,Winefinder,"Hoopenburg Integer Chardonnay 2015 2 x 750 ml",127669,100025226
2872,vin,"Hoopenburg Integer Chardonnay 2015 2 x 750 ml",127669,100025226
57116,Chardonnay,"Hoopenburg Integer Chardonnay 2015 2 x 750 ml",127669,100025226
61237,Sydafrika,"Hoopenburg Integer Chardonnay 2015 2 x 750 ml",127669,100025226
61318,Stellenbosch,"Hoopenburg Integer Chardonnay 2015 2 x 750 ml",127669,100025226
57101,Winefinder,"Fess Parker Chardonnay 2014 2 x 750 ml",127672,100025228
2872,vin,"Fess Parker Chardonnay 2014 2 x 750 ml",127672,100025228
57116,Chardonnay,"Fess Parker Chardonnay 2014 2 x 750 ml",127672,100025228
18474,usa,"Fess Parker Chardonnay 2014 2 x 750 ml",127672,100025228
63352,"Santa Barbara","Fess Parker Chardonnay 2014 2 x 750 ml",127672,100025228
16020,påskgodis,"Påskägg 30cm Hedlund",127675,7391553036138
15649,påsk,"Måla Äggset Hedlund",127678,7391553175905
32787,pyssel,"Måla Äggset Hedlund",127678,7391553175905
39846,pynt,"Måla Äggset Hedlund",127678,7391553175905
69238,Påskpynt,"Måla Äggset Hedlund",127678,7391553175905
15649,påsk,"Äggfärg Hedlund",127681,7391553035698
69238,Påskpynt,"Äggfärg Hedlund",127681,7391553035698
89914,margarin,"Margarin EKO 400g Flora",127684,8714100399798
487,Smör,"Margarin EKO 400g Flora",127684,8714100399798
102826,växtbaserad,"Margarin EKO 400g Flora",127684,8714100399798
51809,matfett,"Margarin EKO 400g Flora",127684,8714100399798
11651,ekologisk,"Margarin EKO 400g Flora",127684,8714100399798
3149,vegetarisk,"Margarin EKO 400g Flora",127684,8714100399798
13171,vegetarian,"Margarin EKO 400g Flora",127684,8714100399798
13169,vego,"Margarin EKO 400g Flora",127684,8714100399798
102805,bredbar,"Margarin EKO 400g Flora",127684,8714100399798
102820,smörgåsmargarin,"Margarin EKO 400g Flora",127684,8714100399798
102796,bordsmargarin,"Margarin EKO 400g Flora",127684,8714100399798
104365,allanblackia,"Margarin EKO 400g Flora",127684,8714100399798
254,öl,"Redemption Pale Ale 3,5% 33cl Adelsö",127687,7350073010035
69412,påskdricka,"Redemption Pale Ale 3,5% 33cl Adelsö",127687,7350073010035
66013,bambu,"Bamboo Steamer Small Beijing8",127750,7350059440559
13347,dumplings,"Bamboo Steamer Small Beijing8",127750,7350059440559
66019,korg,"Bamboo Steamer Small Beijing8",127750,7350059440559
66022,bambukorg,"Bamboo Steamer Small Beijing8",127750,7350059440559
66016,ångkoka,"Bamboo Steamer Small Beijing8",127750,7350059440559
104887,ångkorg,"Bamboo Steamer Small Beijing8",127750,7350059440559
104890,ångkokare,"Bamboo Steamer Small Beijing8",127750,7350059440559
66013,bambu,"Bamboo Steamer Medium Beijing8",127753,7350059440566
13347,dumplings,"Bamboo Steamer Medium Beijing8",127753,7350059440566
66016,ångkoka,"Bamboo Steamer Medium Beijing8",127753,7350059440566
66022,bambukorg,"Bamboo Steamer Medium Beijing8",127753,7350059440566
66019,korg,"Bamboo Steamer Medium Beijing8",127753,7350059440566
104887,ångkorg,"Bamboo Steamer Medium Beijing8",127753,7350059440566
104890,ångkokare,"Bamboo Steamer Medium Beijing8",127753,7350059440566
66013,bambu,"Bamboo Steamer Large Beijing8",127756,7350059440573
13347,dumplings,"Bamboo Steamer Large Beijing8",127756,7350059440573
66016,ångkoka,"Bamboo Steamer Large Beijing8",127756,7350059440573
66019,korg,"Bamboo Steamer Large Beijing8",127756,7350059440573
66022,bambukorg,"Bamboo Steamer Large Beijing8",127756,7350059440573
104887,ångkorg,"Bamboo Steamer Large Beijing8",127756,7350059440573
104890,ångkokare,"Bamboo Steamer Large Beijing8",127756,7350059440573
66013,bambu,"Bamboo Steamer Lid Small Beijing8",127759,7350059440726
66019,korg,"Bamboo Steamer Lid Small Beijing8",127759,7350059440726
13347,dumplings,"Bamboo Steamer Lid Small Beijing8",127759,7350059440726
66016,ångkoka,"Bamboo Steamer Lid Small Beijing8",127759,7350059440726
66022,bambukorg,"Bamboo Steamer Lid Small Beijing8",127759,7350059440726
66025,lock,"Bamboo Steamer Lid Small Beijing8",127759,7350059440726
104887,ångkorg,"Bamboo Steamer Lid Small Beijing8",127759,7350059440726
104890,ångkokare,"Bamboo Steamer Lid Small Beijing8",127759,7350059440726
66013,bambu,"Bamboo Steamer Lid Medium Beijing8",127762,7350059440733
13347,dumplings,"Bamboo Steamer Lid Medium Beijing8",127762,7350059440733
66019,korg,"Bamboo Steamer Lid Medium Beijing8",127762,7350059440733
66022,bambukorg,"Bamboo Steamer Lid Medium Beijing8",127762,7350059440733
66025,lock,"Bamboo Steamer Lid Medium Beijing8",127762,7350059440733
66016,ångkoka,"Bamboo Steamer Lid Medium Beijing8",127762,7350059440733
104887,ångkorg,"Bamboo Steamer Lid Medium Beijing8",127762,7350059440733
104890,ångkokare,"Bamboo Steamer Lid Medium Beijing8",127762,7350059440733
66013,bambu,"Bamboo Steamer Lid Large Beijing8",127765,7350059440740
13347,dumplings,"Bamboo Steamer Lid Large Beijing8",127765,7350059440740
66019,korg,"Bamboo Steamer Lid Large Beijing8",127765,7350059440740
66016,ångkoka,"Bamboo Steamer Lid Large Beijing8",127765,7350059440740
66022,bambukorg,"Bamboo Steamer Lid Large Beijing8",127765,7350059440740
66025,lock,"Bamboo Steamer Lid Large Beijing8",127765,7350059440740
104887,ångkorg,"Bamboo Steamer Lid Large Beijing8",127765,7350059440740
104890,ångkokare,"Bamboo Steamer Lid Large Beijing8",127765,7350059440740
43498,Strumpor,"Bambusockor Anka Herr 2-p 40/45 Crossbow",127771,7318161317015
43498,Strumpor,"Bambusockor Rand Herr 2-p 40/45 Crossbow",127774,7318161317022
43498,Strumpor,"Ankelstrumpor Vita Herr 3-p 40/43 Crossbow",127777,7318161319866
43498,Strumpor,"Ankelstrumpor Vita Herr 3-p 44/47 Crossbow",127780,7318161319859
43498,Strumpor,"Ankelstrumpor Svarta Herr 3-p 40/43 Crossbow",127783,7318161319835
43498,Strumpor,"Ankelstrumpor Svarta Herr 3-p 44/47 Crossbow",127786,7318161319842
